,peakBase,scanNumber,absIntensityUnSub,TIC*IT,ftRes,peakNoiseUnSub,integTime,peakRes,massUnSub,retTime,tic,countsUnSub,sumAbsIntensity,absIntensity15N,peakNoise15N,mass15N,counts15N,absIntensity13C,peakNoise13C,mass13C,counts13C,15N/UnSub,13C/UnSub,13C/15N
107,93700.63,133.0,17600000000.0,1669269.0,120000.0,1027419.0,0.06,172107.0,140.0317,5.65,27800000000.0,75373.33843349208,,771000000.0,1044904.0,141.0349,3246.6140430125643,67544032.0,1044796.0,141.0287,284.45145348948506,0.04307377264279346,0.0037739001535732597,0.08761480413777174
108,117187.3,134.0,20900000000.0,1997244.0,120000.0,1117646.0,0.06,169607.0,140.0317,5.65,33300000000.0,82280.07794954754,21837085178.0,937000000.0,1137886.0,141.0349,3623.210057949567,70282784.0,1137761.0,141.0287,271.8007117487768,0.044035082953752726,0.0033033599204346817,0.07501654814421475
109,121427.8,135.0,21900000000.0,2094804.0,120000.0,1123493.0,0.06,171007.0,140.0316,5.65,34900000000.0,85768.22463513346,,1000000000.0,1142989.0,141.0348,3849.5558574929423,81030048.0,1142868.0,141.0285,311.96272115414905,0.04488324054589372,0.0036372761880203238,0.08103862697483173
110,127969.5,136.0,23100000000.0,2245310.0,120000.0,1145715.0,0.06,171707.0,140.0316,5.66,37400000000.0,88713.1616501486,24160381814.0,1060000000.0,1165916.0,141.0348,4000.288185426738,75052944.0,1165791.0,141.0286,283.2694313131599,0.04509238664272132,0.0031930936294466447,0.07081225606323201
111,128343.5,137.0,22700000000.0,2208255.0,120000.0,1189453.0,0.06,172203.0,140.0316,5.66,36800000000.0,83971.37171456123,23750909568.0,1050000000.0,1209057.0,141.0348,3821.1597964363964,76329736.0,1208935.0,141.0286,277.8071926116789,0.04550550644123609,0.0033083560139521356,0.07270232270075729
112,110840.8,138.0,19400000000.0,1875400.0,120000.0,1115820.0,0.06,171807.0,140.0316,5.67,31300000000.0,76499.79387356385,20249520756.0,848000000.0,1133453.0,141.0349,3291.8877095036146,65371232.0,1133343.0,141.0286,253.79203012680188,0.0430313278352662,0.0033175518164958767,0.07709619905749195
113,134917.0,139.0,23200000000.0,2237375.0,120000.0,1164513.0,0.06,173107.0,140.0316,5.67,37300000000.0,87658.96129970212,24223061638.0,1020000000.0,1184319.0,141.0349,3789.5195466761916,70806264.0,1184195.0,141.0286,263.08805695008004,0.04323025838419408,0.003001268245132333,0.06942517480371252
114,134525.5,140.0,22900000000.0,2225194.0,120000.0,1179527.0,0.06,171603.0,140.0317,5.68,37100000000.0,85424.0725307687,23885425542.0,979000000.0,1200644.0,141.0349,3587.741245531565,77146880.0,1200513.0,141.0287,282.75101727344895,0.041999182891207916,0.0033099688284190095,0.07881031488143347
115,139784.1,141.0,24200000000.0,2391109.0,120000.0,1182763.0,0.06,171507.0,140.0316,5.68,39900000000.0,90026.48882320465,25237228509.0,1030000000.0,1205218.0,141.0348,3760.3155611681873,77855656.0,1205079.0,141.0286,284.2675761506092,0.04176899055291105,0.003157599278461899,0.07559673424384045
116,115390.6,142.0,20300000000.0,1982185.0,120000.0,1099920.0,0.06,168903.0,140.0316,5.69,33000000000.0,81205.9058840643,21167885256.0,859000000.0,1117690.0,141.0349,3381.6174431192912,76346960.0,1117580.0,141.0286,300.58396177454864,0.04164250624760155,0.0037015037084086604,0.08888763049946957
117,120198.3,143.0,21600000000.0,2095129.0,120000.0,1142009.0,0.06,172302.0,140.0316,5.69,34900000000.0,83221.76094934453,22431780163.0,819000000.0,1160831.0,141.0348,3104.327847895172,73901408.0,1160714.0,141.0285,280.1432525152622,0.037301876486183896,0.0033662259644539356,0.09024280496185601
