,peakBase,scanNumber,absIntensityUnSub,TIC*IT,ftRes,peakNoiseUnSub,integTime,peakRes,massUnSub,retTime,tic,countsUnSub,sumAbsIntensity,absIntensity15N,peakNoise15N,mass15N,counts15N,absIntensity13C,peakNoise13C,mass13C,counts13C,15N/UnSub,13C/UnSub,15N/13C
970,-408.23,1067.0,78670392.0,225361.0,120000.0,90534.44,0.335,157907.0,156.0265,9.74,672000000.0,3823.403831735194,81889713.0,229987.0,90445.29,157.0235,11.188452157099615,3428346.0,90444.72,157.0298,166.78389186234423,0.002926306675803561,0.043621835202966745,0.0670835296632486
971,-135.16,1068.0,109000000.0,247292.0,120000.0,103527.0,0.305,162107.0,156.0265,9.74,812000000.0,4632.607918707198,112077745.0,488788.0,103415.6,157.0237,20.796351807657643,5576094.0,103414.9,157.0299,237.24640839956334,0.0044891240900570735,0.05121227882064551,0.08765718287559088
972,-111.68,1069.0,141000000.0,238921.0,120000.0,124377.2,0.257,163107.0,156.0264,9.74,929000000.0,4988.052472639681,143859404.0,325321.0,124427.8,157.0235,11.50395972604193,5932963.0,124428.1,157.0298,209.80017536231767,0.002306302868532982,0.042060538960467526,0.05483293665591551
973,-1231.23,1070.0,177000000.0,245340.0,120000.0,141778.2,0.219,161607.0,156.0265,9.75,1120000000.0,5493.087089552555,179796747.0,458213.0,141808.6,157.0236,14.217312631250856,9966606.0,141808.8,157.0298,309.2407974681402,0.0025882190468618513,0.05629635802721812,0.04597489318244177
974,-2453.53,1071.0,211000000.0,224869.0,120000.0,167438.3,0.181,161007.0,156.0265,9.75,1240000000.0,5544.729013612776,213800971.0,414464.0,167357.5,157.0235,10.896682849588457,10395672.0,167357.0,157.0299,273.3136755558477,0.001965232714319525,0.04929252175982625,0.03986878017511377
975,-331.43,1072.0,274000000.0,242235.0,120000.0,195903.0,0.163,161707.0,156.0265,9.76,1490000000.0,6154.066042888573,277606697.0,821941.0,195945.5,157.0235,18.4568688742533,12470474.0,195945.8,157.0298,280.0268523234487,0.002999134027100899,0.04550273760013318,0.06591106788906963
976,624.71,1073.0,340000000.0,245323.0,120000.0,232866.4,0.133,158607.0,156.0265,9.76,1840000000.0,6424.284482432846,343739287.0,833706.0,233864.4,157.0238,15.685612688378395,17654454.0,233870.4,157.0298,332.14805122837265,0.00244161240543917,0.051701952511074005,0.047224762061281976
977,-1426.85,1074.0,413000000.0,234883.0,120000.0,283338.9,0.109,159607.0,156.0264,9.77,2150000000.0,6413.521051998155,417132363.0,1173532.0,283439.4,157.0233,18.217441894105054,19691570.0,283440.1,157.0298,305.68331015971285,0.0028404743270359026,0.04766232272122599,0.05959580156530901
978,-1089.8,1075.0,466000000.0,228080.0,120000.0,328295.5,0.095,158102.0,156.0265,9.77,2400000000.0,6245.592766273068,469574304.0,1299226.0,328789.8,157.0235,17.386775380501465,15784143.0,328793.0,157.0299,211.22782176019564,0.0027838471112609335,0.03382030011640378,0.08231290383820962
979,-2999.27,1076.0,539000000.0,231275.0,120000.0,364447.9,0.085,161207.0,156.0265,9.78,2720000000.0,6507.377323343063,543877109.0,1834762.0,364448.3,157.0236,22.15116053497849,21513624.0,364448.3,157.0298,259.73490780448145,0.0034040073956551637,0.03991391537613293,0.08528372532679758
980,-1094.44,1077.0,613000000.0,234690.0,120000.0,415431.6,0.077,159907.0,156.0265,9.78,3050000000.0,6492.524882555877,617019786.0,1804586.0,415259.8,157.0235,19.120989799638686,28410310.0,415258.8,157.0298,301.0300179069053,0.0029450776308941043,0.04636563176149129,0.06351854852412733
981,-3043.27,1078.0,751000000.0,251163.0,120000.0,462645.1,0.069,158002.0,156.0264,9.78,3650000000.0,7142.407862960184,755102803.0,2032428.0,462304.7,157.0235,19.3436995124644,29763414.0,462302.6,157.0298,283.27554636292336,0.0027082882808721833,0.03966107113988297,0.06828580779677285
982,-4713.13,1079.0,907000000.0,274500.0,120000.0,523540.1,0.06,162507.0,156.0265,9.79,4570000000.0,7622.720781082482,911863391.0,1908169.0,524658.3,157.0236,16.002688988242443,38641960.0,524665.3,157.0298,324.06302456061036,0.0020993408322074135,0.04251277645704229,0.049381409711706924
983,54.35,1080.0,1050000000.0,310806.0,120000.0,540450.1,0.06,161907.0,156.0265,9.79,5180000000.0,8548.430280612401,1055550123.0,3526445.0,540049.4,157.0235,28.731367908195065,43018224.0,540046.8,157.0299,350.4884865533876,0.003361010965177665,0.04100033281528722,0.08197521177009792
984,-6015.73,1081.0,1110000000.0,334351.0,120000.0,541833.4,0.06,163007.0,156.0264,9.8,5570000000.0,9013.840785747057,1116522333.0,4065824.0,541496.7,157.0235,33.037367725417354,50637288.0,541494.6,157.0298,411.461291026725,0.0036651820806128488,0.04564772118865682,0.08029277223861996
985,-3521.85,1082.0,1220000000.0,354479.0,120000.0,531158.3,0.06,158407.0,156.0264,9.8,5910000000.0,10106.21503984782,1225305536.0,3013557.0,533321.9,157.0235,24.86237823723346,49872072.0,533335.7,157.0298,411.4427682227161,0.002460107779144173,0.040711855684886715,0.060427306438341204
986,2987.81,1083.0,1350000000.0,394474.0,120000.0,567083.6,0.06,158207.0,156.0265,9.81,6570000000.0,10474.646066294285,1355738978.0,3771349.0,567999.4,157.0235,29.214706212717832,57921232.0,568005.2,157.0298,448.68149235253486,0.0027890876720623554,0.04283500268293735,0.06511234965262053
987,2870.44,1084.0,1470000000.0,420413.0,120000.0,568177.0,0.06,160107.0,156.0265,9.81,7010000000.0,11383.776534425013,1476519501.0,4340468.0,569231.4,157.0235,33.55060736284049,62176564.0,569238.1,157.0298,480.60184587082284,0.0029472299690161746,0.04221813775221807,0.069809568255088
988,236.1,1085.0,1720000000.0,501032.0,120000.0,580159.1,0.06,163807.0,156.0265,9.81,8350000000.0,13044.697566581306,1727547342.0,4888063.0,580105.4,157.0235,37.07511979719548,78954176.0,580105.1,157.0298,598.8541979720572,0.0028421601656888357,0.04590786370595805,0.06191009418109717
989,32.2,1086.0,1930000000.0,551283.0,120000.0,607548.3,0.06,159607.0,156.0265,9.82,9190000000.0,13977.489526347124,1938298066.0,5419274.0,609209.8,157.0236,39.14054829715477,82222376.0,609220.2,157.0298,593.8385733106028,0.0028002559560768104,0.04248535276604829,0.06591109108818805
990,159.63,1087.0,2030000000.0,585270.0,120000.0,595008.1,0.06,158207.0,156.0265,9.82,9750000000.0,15011.560346825532,2038126991.0,5521426.0,595990.1,157.0236,40.76288247069876,94790456.0,595996.3,157.0298,699.7996571455225,0.002715432741761506,0.04661738293537939,0.058249360448346395
991,434.73,1088.0,2040000000.0,585846.0,120000.0,605891.4,0.06,163507.0,156.0265,9.83,9760000000.0,14814.536070325474,2051572489.0,9318238.0,607403.2,157.0235,67.50087454264319,84008528.0,607412.8,157.0298,608.5441781931497,0.004556394761348757,0.04107750491168638,0.11092189681784886
992,1458.98,1089.0,2230000000.0,632608.0,120000.0,610853.9,0.06,161002.0,156.0265,9.83,10500000000.0,16062.760669940883,2239945354.0,7799512.0,612843.8,157.0236,55.99771556797996,86743608.0,612856.3,157.0298,622.7754780362053,0.0034861825260692285,0.03877138499620672,0.08991637844276924
993,6775.96,1090.0,2350000000.0,665862.0,120000.0,652314.1,0.06,159702.0,156.0265,9.84,11100000000.0,15851.259385624197,2360054502.0,7462330.0,652412.2,157.0234,50.32746475311162,93140200.0,652412.8,157.0298,628.1557933872541,0.0031749820962966853,0.03962813162700122,0.08011939917281803
994,2127.63,1091.0,2470000000.0,701458.0,120000.0,647431.1,0.06,160707.0,156.0264,9.84,11700000000.0,16786.34220691592,2480928388.0,8439567.0,647991.6,157.0236,57.30644471317222,99807968.0,647995.1,157.0298,677.7135493771482,0.0034138732552206723,0.04037291394535805,0.08455850523549313
995,3440.93,1092.0,2420000000.0,700697.0,120000.0,635610.6,0.06,161402.0,156.0264,9.85,11700000000.0,16752.39525583746,2430505861.0,8430419.0,636528.1,157.0235,58.27526483119914,96659384.0,636533.8,157.0298,668.1519341156746,0.003478622844150768,0.0398839642876056,0.08721858286368465
996,3976.5,1093.0,2610000000.0,746917.0,120000.0,667296.6,0.06,163102.0,156.0264,9.85,12400000000.0,17209.738518074275,2620555216.0,8678994.0,668505.2,157.0235,57.12382431729777,99920808.0,668512.8,157.0298,657.656151385583,0.0033192732276149527,0.03821418615366464,0.08685971262786249
997,10277.75,1094.0,2670000000.0,769766.0,120000.0,667873.8,0.06,163807.0,156.0264,9.85,12800000000.0,17590.14951627089,2681683323.0,9954867.0,668522.8,157.0235,65.51970224500944,117000000.0,668526.9,157.0298,770.0512873902306,0.0037247950726287866,0.04377741568813461,0.08508485514914375
998,2741.71,1095.0,2640000000.0,760774.0,120000.0,641564.5,0.06,162607.0,156.0265,9.86,12700000000.0,18105.739952880813,2654181270.0,11611529.0,643978.7,157.0235,79.33605195327114,106000000.0,643993.9,157.0298,724.2304624313988,0.00438181770862383,0.040000047737135766,0.10954531198110999
999,3188.87,1096.0,2620000000.0,735696.0,120000.0,634703.8,0.06,163207.0,156.0264,9.86,12300000000.0,18162.802869622017,2631509253.0,9051920.0,635822.1,157.0235,62.64086762633763,106000000.0,635829.1,157.0298,733.5304408055562,0.0034488546771108152,0.040386412057161834,0.08539641184835632
1000,9008.51,1097.0,2840000000.0,801776.0,120000.0,657165.3,0.06,162507.0,156.0264,9.87,13400000000.0,19015.002770231476,2851037095.0,9032275.0,658324.4,157.0234,60.368429303243204,122000000.0,658331.8,157.0298,815.3943042095186,0.003174778885530939,0.04288162952497916,0.07403587318624599
1001,7751.48,1098.0,2620000000.0,735617.0,120000.0,644331.8,0.06,163507.0,156.0264,9.87,12300000000.0,17891.40315595164,2626948258.0,4994600.0,646201.9,157.0235,34.00831845279316,111000000.0,646213.7,157.0297,755.7871335751626,0.0019008189663134482,0.04224303297999001,0.044997218055196034
1002,7812.24,1099.0,2630000000.0,754093.0,120000.0,654179.5,0.06,162307.0,156.0264,9.88,12600000000.0,17689.3345022276,2640594115.0,8836574.0,655850.2,157.0235,59.283241203555335,113000000.0,655860.7,157.0298,758.0878073651921,0.0033513550889147274,0.04285564317129776,0.0782010218705403
1003,-208.21,1100.0,2810000000.0,796279.0,120000.0,651731.4,0.06,163607.0,156.0264,9.88,13300000000.0,18971.005540012342,2818564351.0,6656059.0,653417.1,157.0236,44.82077313250603,121000000.0,653427.6,157.0298,814.7803980119604,0.002362593434384547,0.04294871962867132,0.05500963602200956
1004,-128.58,1101.0,2490000000.0,686635.0,120000.0,640479.4,0.06,162407.0,156.0265,9.88,11400000000.0,17105.936584377265,2498757162.0,7218043.0,640224.0,157.0235,49.606683285849954,111000000.0,640222.4,157.0298,762.8599061826017,0.002899968852401534,0.04459620801349845,0.06502725190275745
1005,269.36,1102.0,2310000000.0,663492.0,120000.0,637035.3,0.06,161207.0,156.0265,9.89,11100000000.0,15955.159784708949,2319128686.0,7285819.0,636677.5,157.0235,50.35140019868773,104000000.0,636675.3,157.0298,718.7337093177637,0.003155806703167168,0.04504710194169169,0.07005570984903753
1006,7474.17,1103.0,2520000000.0,719901.0,120000.0,631951.6,0.06,160607.0,156.0265,9.89,12000000000.0,17545.64748313004,2532293186.0,10334723.0,633667.3,157.0236,71.76128735063337,117000000.0,633677.9,157.0298,812.4001168416952,0.004089976583630276,0.04630208817444951,0.0883324434142306
