,peakBase,scanNumber,absIntensityUnSub,TIC*IT,ftRes,peakNoiseUnSub,integTime,peakRes,massUnSub,retTime,tic,countsUnSub,sumAbsIntensity,absIntensity15N,peakNoise15N,mass15N,counts15N,absIntensity13C,peakNoise13C,mass13C,counts13C,15N/UnSub,13C/UnSub,15N/13C
355,-44.01,400.0,4113404.0,227084.0,120000.0,34443.14,0.902,167902.0,138.016,6.82,252000000.0,525.4740885993554,,0.0,0.0,0.0,0.0,218536.0,34492.85,139.0193,27.877035385594407,0.0,0.05305120840477653,0.0
356,-299.48,401.0,18146224.0,275545.0,120000.0,38641.11,0.828,170402.0,138.016,6.82,333000000.0,2066.2808495925715,,0.0,0.0,0.0,0.0,1060542.0,38540.58,139.0193,121.077181505831,0.0,0.0585966721463372,0.0
357,-61.56,402.0,55631556.0,280448.0,120000.0,51752.5,0.608,170807.0,138.016,6.82,461000000.0,4729.7975247572585,,176557.0,51984.36,139.013,14.943933136812689,3480375.0,51985.83,139.0193,294.5735405205611,0.0031595291465631265,0.06228037013818665,0.050730738105005085
358,-176.73,403.0,150000000.0,357700.0,120000.0,77200.63,0.435,172507.0,138.016,6.83,823000000.0,8549.153031523188,,517418.0,77253.2,139.013,29.469836848182347,7617396.0,77253.54,139.0193,433.85121769177186,0.0034471060161771084,0.050747859594048386,0.06792613607257199
359,-30.28,404.0,301000000.0,331559.0,120000.0,132404.9,0.239,170307.0,138.016,6.83,1390000000.0,10002.650959292292,,1392776.0,132760.2,139.013,46.16002687552444,14437785.0,132762.4,139.0193,478.49582411887707,0.00461477932833821,0.04783690104415396,0.09646902762532047
360,-4179.45,405.0,500000000.0,298779.0,120000.0,222680.6,0.141,169807.0,138.016,6.84,2110000000.0,9879.6213051339,,1464567.0,222258.3,139.0131,28.993719469644105,22669074.0,222255.7,139.0193,448.7800564844906,0.0029346994762418322,0.045424823748181936,0.06460563264946712
361,-1032.75,406.0,807000000.0,296784.0,120000.0,339565.8,0.092,170207.0,138.016,6.84,3220000000.0,10456.883467062939,808908996.0,1790997.0,340101.4,139.0129,23.170697915386413,36221472.0,340104.8,139.0193,468.60402087827055,0.0022158320869090117,0.04481297150860274,0.04944622086673361
362,-8226.46,407.0,1280000000.0,304379.0,120000.0,502439.9,0.062,171807.0,138.016,6.85,4940000000.0,11209.300853694143,,4651877.0,501359.3,139.013,40.82552931600152,58257036.0,501352.4,139.0193,511.27900933554923,0.0036421120147334647,0.045612033793084594,0.07984980523463654
363,-4891.08,408.0,1580000000.0,375603.0,120000.0,544275.1,0.06,168607.0,138.016,6.85,6260000000.0,12772.952501409674,,7124904.0,543479.7,139.013,57.68307003923054,68839472.0,543474.6,139.0193,557.3281194742128,0.004516032611321807,0.04363346058107582,0.10349929964712555
364,-3747.02,409.0,1910000000.0,446529.0,120000.0,557076.7,0.06,170707.0,138.016,6.85,7440000000.0,15085.893917300797,1915322197.0,5191724.0,556571.2,139.013,41.04342014103498,86403248.0,556568.0,139.0193,683.0688993977376,0.0027206488635032485,0.04527864925620224,0.06008679384645238
365,-3337.37,410.0,2640000000.0,638124.0,120000.0,601705.8,0.06,170707.0,138.016,6.86,10600000000.0,19305.115556472945,,9869839.0,601548.1,139.0129,72.19255052089768,111000000.0,601547.1,139.0193,811.9064990920912,0.0037395554722122215,0.04205654696637449,0.08891732065407347
366,-3741.07,411.0,2850000000.0,697421.0,120000.0,618458.1,0.06,171207.0,138.0159,6.86,11600000000.0,20276.232132783127,,11001064.0,617873.5,139.013,78.34076327921493,125000000.0,617869.8,139.0193,890.1551750870491,0.003863674610064835,0.04390140975195404,0.08800798498031977
367,-1545.26,412.0,3300000000.0,798810.0,120000.0,659466.1,0.06,170307.0,138.016,6.87,13300000000.0,22017.811074746678,,10310993.0,662206.6,139.0129,68.5108985624728,145000000.0,662223.9,139.0193,963.4203779114587,0.003111612608986883,0.04375641041885646,0.07111215429239048
368,-1490.64,413.0,3310000000.0,794418.0,120000.0,664812.3,0.06,174207.0,138.016,6.87,13200000000.0,21906.935235704877,,5979698.0,664624.9,139.0129,39.58724868719183,148000000.0,664623.8,139.0193,979.8024085204291,0.001807064669761328,0.044725672394534885,0.04040329799451236
369,628.3,414.0,3860000000.0,936301.0,120000.0,678845.3,0.06,169307.0,138.016,6.88,15600000000.0,25018.954981348474,,9868892.0,680800.7,139.013,63.78243265613565,163000000.0,680813.0,139.0193,1053.446394237478,0.0025493643800744347,0.042105931083964855,0.06054644356375024
370,439.65,415.0,4500000000.0,1090901.0,120000.0,712311.6,0.06,173307.0,138.016,6.88,18200000000.0,27796.823749606214,,14159545.0,712962.3,139.013,87.38470182785261,204000000.0,712966.4,139.0193,1258.9653593773846,0.00314369377649094,0.0452916984587212,0.06940993346399006
371,5804.38,416.0,5060000000.0,1230181.0,120000.0,772255.3,0.06,170207.0,138.016,6.89,20500000000.0,28829.844223794902,,15493318.0,774082.4,139.013,88.06633402335461,206000000.0,774094.0,139.0193,1170.9172271067855,0.003054693370513202,0.04061476080194569,0.07521140861592528
372,6309.83,417.0,5160000000.0,1277360.0,120000.0,773624.9,0.06,171907.0,138.016,6.89,21300000000.0,29347.555902091568,,17435328.0,776385.7,139.013,98.81099458684002,233000000.0,776403.2,139.0193,1320.4479322084196,0.0033669241457956597,0.04499345487623086,0.07483142059345033
373,8054.0,418.0,5640000000.0,1384981.0,120000.0,784972.7,0.06,172607.0,138.016,6.89,23100000000.0,31613.83829017239,,21232220.0,786642.1,139.013,118.76019348570335,248000000.0,786652.7,139.0193,1387.1432717385958,0.003756588883502376,0.043877724020933234,0.0856149439681552
374,5377.09,419.0,5680000000.0,1376001.0,120000.0,775963.5,0.06,171107.0,138.016,6.9,22900000000.0,32207.700491066917,,12496844.0,777182.1,139.0129,70.750617648039,232000000.0,777189.9,139.0193,1313.449904585739,0.002196698819515609,0.04078061719898431,0.05386624750667875
375,3253.58,420.0,6280000000.0,1549517.0,120000.0,795843.5,0.06,170307.0,138.016,6.9,25800000000.0,34720.394147844396,,22715876.0,795801.6,139.0129,125.59644815994339,280000000.0,795801.4,139.0192,1548.12494675179,0.0036173681561659636,0.044588345977861106,0.08112810818239478
