,peakBase,scanNumber,absIntensityUnSub,TIC*IT,ftRes,peakNoiseUnSub,integTime,peakRes,massUnSub,retTime,tic,countsUnSub,sumAbsIntensity,absIntensity15N,peakNoise15N,mass15N,counts15N,absIntensity13C,peakNoise13C,mass13C,counts13C,15N/UnSub,13C/UnSub,15N/13C
1933,-211.01,1981.0,60539148.0,254332.0,120000.0,40309.7,0.763,161107.0,153.003,13.74,333000000.0,6608.1427348752295,60904648.0,246838.0,40262.33,154.0001,26.975269439200364,3519660.0,40262.04,154.0064,384.6428049845462,0.004082125722986474,0.058207399630542146,0.07013070071669258
1934,112.67,1982.0,78442920.0,228798.0,120000.0,54272.43,0.593,161507.0,153.003,13.74,386000000.0,6359.561346341044,78927833.0,297587.0,54331.98,154.0001,24.09967021264456,3676146.0,54332.35,154.0064,297.7055547937831,0.003789517688434634,0.046812278171523135,0.08095136225905526
1935,234.23,1983.0,94621616.0,230093.0,120000.0,61454.61,0.529,162407.0,153.0031,13.75,435000000.0,6774.676633697619,95132360.0,348856.0,61425.25,154.0002,24.989176275228836,5089313.0,61425.07,154.0064,364.5576179237566,0.0036886153578063463,0.05381181090037961,0.0685465754838651
1936,-514.73,1984.0,126000000.0,249884.0,120000.0,69975.64,0.453,161107.0,153.0031,13.75,552000000.0,7922.757119477579,126512056.0,370202.0,69938.77,154.0001,23.29021228139986,6933409.0,69938.54,154.0064,436.1972611953296,0.002939660011051254,0.05505624552379212,0.053393760927284865
1937,-715.57,1985.0,150000000.0,220012.0,120000.0,87503.91,0.35,164307.0,153.0031,13.76,629000000.0,7542.520099958962,150605605.0,451454.0,87693.1,154.0001,22.651697796063775,7211374.0,87694.28,154.0064,361.82571542864605,0.0030032001898393375,0.04797146187659675,0.06260389140453675
1938,-149.52,1986.0,182000000.0,226892.0,120000.0,98713.67,0.309,161907.0,153.003,13.76,733000000.0,8112.351612497035,182596941.0,467205.0,98832.2,154.0002,20.7999214830794,8760621.0,98832.94,154.0064,390.01908068301924,0.0025639817498833792,0.04807719133896969,0.053330522821226155
1939,269.95,1987.0,217000000.0,219423.0,120000.0,118876.0,0.265,165607.0,153.003,13.76,829000000.0,8031.898785288873,217421747.0,281374.0,119000.0,154.0001,10.403744537815127,9787757.0,119000.8,154.0063,361.8978258969688,0.0012953032422259227,0.04505756802610815,0.02874773981310692
1940,-651.91,1988.0,238000000.0,217162.0,120000.0,127152.8,0.233,161507.0,153.003,13.77,932000000.0,8235.760439408336,239414830.0,1237966.0,127241.0,153.9999,42.80892479625279,10628965.0,127241.6,154.0063,367.548396122023,0.005197932250604441,0.044628349601245565,0.11647153204292744
1941,-1009.97,1989.0,292000000.0,238260.0,120000.0,141418.7,0.216,163507.0,153.003,13.77,1110000000.0,9085.078564574556,293690416.0,1537129.0,141589.0,154.0001,47.76760624059779,12952361.0,141590.0,154.0063,402.5029196977188,0.00525780882367468,0.04430373571750918,0.11867642171756529
1942,-1047.1,1990.0,313000000.0,208481.0,120000.0,168984.4,0.179,165407.0,153.003,13.78,1160000000.0,8149.864721240541,313724693.0,600959.0,169215.1,154.0001,15.626380860809704,16086461.0,169216.5,154.0063,418.2832548835368,0.0019173791707343965,0.05132395066551084,0.03735837062174669
1943,-817.99,1991.0,357000000.0,219719.0,120000.0,181297.0,0.172,162307.0,153.003,13.78,1280000000.0,8664.236032587412,358649510.0,1562320.0,181518.2,154.0001,37.87062674706999,15657577.0,181519.6,154.0063,379.53663846769166,0.004370913558291029,0.04380497449979443,0.09978121453561263
1944,-1046.12,1992.0,414000000.0,238372.0,120000.0,204058.3,0.157,161207.0,153.003,13.79,1520000000.0,8926.86060797331,415789381.0,1626563.0,204023.2,154.0001,35.078742025416716,19888492.0,204023.0,154.0064,428.9191159820217,0.003929572059642672,0.04804814758717291,0.08178404906273064
1945,-883.6,1993.0,440000000.0,206971.0,120000.0,240350.4,0.13,161907.0,153.003,13.79,1590000000.0,8054.9065031720365,441323099.0,1095751.0,240077.2,154.0001,20.082308524091417,22486304.0,240075.5,154.0063,412.11926081586836,0.0024931771108929654,0.05116375474421398,0.04872936170062683
1946,-779.37,1994.0,482000000.0,221085.0,120000.0,236840.4,0.127,162807.0,153.003,13.8,1740000000.0,8954.553361673094,482913285.0,783514.0,236754.4,154.0,14.561341204218381,20385220.0,236753.9,154.0063,378.85318045447195,0.0016261381909390621,0.04230843964546837,0.03843531466926214
